player_email,verb,created_at,asset_type,asset_title,bv_errors
obi@bvskillportdemo.com,completed-course,2013-05-18T17:12:16Z,videos,Compliance and Social Media,"[""Limit exceeded""]"
julianne@bvskillportdemo.com,added-location,2014-12-18T23:46:23Z,books,Compliance and Social Media,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,registered,2013-06-12T14:34:01Z,videos,Planning for Performance,"[""Limit exceeded""]"
julianne@bvskillportdemo.com,started-course,2012-05-09T21:10:44Z,books,Managing IPv4 and IPv6 Addressing,"[""Limit exceeded""]"
amy@bvskillportdemo.com,added-company,2014-12-20T06:42:01Z,resources,Managing IPv4 and IPv6 Addressing,"[""Limit exceeded""]"
jack@bvskillportdemo.com,registered,2012-03-07T09:42:37Z,courses,Facilitating Collaborative Processes,"[""Limit exceeded""]"
jessica@bvskillportdemo.com,registered,2012-05-18T19:20:35Z,resources,Reviewing and Rewarding Performance,"[""Limit exceeded""]"
jessica@bvskillportdemo.com,added-company,2012-06-01T05:53:03Z,resources,Compliance and Social Media,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,added-company,2014-01-12T22:47:10Z,resources,Facilitating Collaborative Processes,"[""Limit exceeded""]"
jack@bvskillportdemo.com,took-pretest,2012-07-23T03:01:40Z,videos,Facilitating Collaborative Processes,"[""Limit exceeded""]"
jack@bvskillportdemo.com,completed-course,2014-01-02T01:22:10Z,videos,Facilitating Collaborative Processes,"[""Limit exceeded""]"
obi@bvskillportdemo.com,added-company,2012-09-23T09:11:32Z,resources,Web Design Enhancements,"[""Limit exceeded""]"
lucas@bvskillportdemo.com,added-company,2014-10-22T17:32:55Z,videos,Global Safety Principles,"[""Limit exceeded""]"
amy@bvskillportdemo.com,took-pretest,2013-04-06T02:25:15Z,books,Scala Introduction,"[""Limit exceeded""]"
