player_email,verb,created_at,asset_type,asset_title
jessica@bvskillportdemo.com,accessed-resource,2012-11-28T09:53:08Z,courses,Compliance and Social Media
jack@bvskillportdemo.com,added-manager,2012-02-04T21:27:41Z,courses,Compliance and Social Media
roselyn@bvskillportdemo.com,added-manager,2012-02-04T09:15:48Z,videos,Reviewing and Rewarding Performance
obi@bvskillportdemo.com,accessed-book,2012-07-28T17:42:04Z,videos,Compliance and Social Media
amy@bvskillportdemo.com,started-course,2013-03-07T17:46:15Z,courses,Scala Introduction
roselyn@bvskillportdemo.com,added-manager,2013-11-24T17:13:56Z,resources,Reviewing and Rewarding Performance
obi@bvskillportdemo.com,added-location,2013-01-25T06:11:44Z,videos,Scala Introduction
obi@bvskillportdemo.com,accessed-resource,2013-09-27T23:28:04Z,videos,Web Design Enhancements
amy@bvskillportdemo.com,accessed-video,2012-10-06T16:38:16Z,courses,Scala Introduction
julianne@bvskillportdemo.com,accessed-book,2013-06-13T07:36:01Z,courses,Reviewing and Rewarding Performance
amy@bvskillportdemo.com,restarted-test,2013-08-17T23:35:25Z,courses,Managing IPv4 and IPv6 Addressing
lucas@bvskillportdemo.com,beat-pretest,2013-06-07T16:58:24Z,videos,Global Safety Principles
roselyn@bvskillportdemo.com,shared-course,2013-08-27T08:54:03Z,books,Web Design Enhancements
roselyn@bvskillportdemo.com,added-location,2014-05-15T13:16:33Z,videos,Planning for Performance
jessica@bvskillportdemo.com,added-company,2012-11-27T16:13:59Z,resources,Managing IPv4 and IPv6 Addressing
julianne@bvskillportdemo.com,downloaded-book,2012-09-03T02:11:58Z,courses,Reviewing and Rewarding Performance
jessica@bvskillportdemo.com,shared-course,2014-09-20T01:18:19Z,courses,Global Safety Principles
julianne@bvskillportdemo.com,completed-course,2013-11-14T17:05:37Z,videos,Web Design Enhancements
jack@bvskillportdemo.com,accessed-resource,2013-07-11T03:18:57Z,courses,Compliance and Social Media
roselyn@bvskillportdemo.com,restarted-test,2014-06-23T23:51:03Z,resources,Web Design Enhancements
julianne@bvskillportdemo.com,added-company,2014-02-18T15:18:29Z,videos,Compliance and Social Media
lucas@bvskillportdemo.com,accessed-book,2014-11-20T06:19:53Z,videos,Managing IPv4 and IPv6 Addressing
jessica@bvskillportdemo.com,shared-course,2014-03-04T17:55:46Z,resources,Scala Introduction
julianne@bvskillportdemo.com,added-manager,2012-07-24T17:12:13Z,resources,Scala Introduction
julianne@bvskillportdemo.com,accessed-video,2014-06-23T09:31:43Z,videos,Facilitating Collaborative Processes
roselyn@bvskillportdemo.com,added-manager,2014-03-11T21:14:30Z,books,Facilitating Collaborative Processes
obi@bvskillportdemo.com,completed-course,2012-05-06T19:20:22Z,courses,Managing IPv4 and IPv6 Addressing
jack@bvskillportdemo.com,completed-course,2014-07-27T05:07:05Z,books,Reviewing and Rewarding Performance
jack@bvskillportdemo.com,added-note-course,2014-11-02T20:17:43Z,videos,Web Design Enhancements
jessica@bvskillportdemo.com,downloaded-book,2014-03-22T09:03:54Z,videos,Planning for Performance
roselyn@bvskillportdemo.com,added-location,2013-08-05T16:08:09Z,books,Planning for Performance
jack@bvskillportdemo.com,took-pretest,2012-12-20T05:39:16Z,resources,Facilitating Collaborative Processes
roselyn@bvskillportdemo.com,started-course,2013-07-26T16:20:30Z,videos,Global Safety Principles
jessica@bvskillportdemo.com,added-location,2014-03-21T11:13:51Z,resources,Reviewing and Rewarding Performance
obi@bvskillportdemo.com,downloaded-book,2014-08-10T18:59:04Z,videos,Managing IPv4 and IPv6 Addressing
lucas@bvskillportdemo.com,accessed-resource,2012-06-18T02:19:45Z,books,Reviewing and Rewarding Performance
julianne@bvskillportdemo.com,accessed-video,2014-05-18T17:15:09Z,videos,Global Safety Principles
jack@bvskillportdemo.com,restarted-test,2012-05-03T23:11:11Z,videos,Web Design Enhancements
jack@bvskillportdemo.com,completed-course,2012-11-28T22:58:49Z,courses,Web Design Enhancements
julianne@bvskillportdemo.com,beat-pretest,2012-12-17T17:48:50Z,resources,Facilitating Collaborative Processes
jack@bvskillportdemo.com,accessed-resource,2013-05-10T18:19:31Z,books,Web Design Enhancements
roselyn@bvskillportdemo.com,started-course,2012-03-15T18:13:14Z,courses,Planning for Performance
obi@bvskillportdemo.com,beat-pretest,2014-06-10T13:47:11Z,videos,Managing IPv4 and IPv6 Addressing
jessica@bvskillportdemo.com,added-note-course,2013-09-01T18:47:08Z,videos,Compliance and Social Media
roselyn@bvskillportdemo.com,started-course,2013-09-01T17:33:10Z,resources,Managing IPv4 and IPv6 Addressing
roselyn@bvskillportdemo.com,added-location,2013-05-04T06:07:08Z,books,Facilitating Collaborative Processes
obi@bvskillportdemo.com,added-manager,2013-02-17T11:32:47Z,videos,Web Design Enhancements
lucas@bvskillportdemo.com,accessed-course,2014-06-18T02:30:15Z,books,Planning for Performance
amy@bvskillportdemo.com,shared-course,2014-02-05T11:23:59Z,videos,Scala Introduction
