player_email,verb,created_at,asset_type,asset_title
jessica@bvskillportdemo.com,took-pretest,2014-09-22T01:22:50Z,resources,Scala Introduction
amy@bvskillportdemo.com,added-company,2014-03-26T16:53:05Z,videos,Web Design Enhancements
lucas@bvskillportdemo.com,read-book,2014-03-01T23:01:21Z,resources,Compliance and Social Media
lucas@bvskillportdemo.com,beat-pretest,2014-09-09T15:32:22Z,videos,Managing IPv4 and IPv6 Addressing
jack@bvskillportdemo.com,logged-in,2012-05-22T16:43:56Z,courses,Facilitating Collaborative Processes
julianne@bvskillportdemo.com,registered,2012-05-12T14:09:10Z,videos,Compliance and Social Media
lucas@bvskillportdemo.com,added-note-course,2014-04-22T03:58:04Z,books,Global Safety Principles
amy@bvskillportdemo.com,shared-course,2013-01-06T19:51:15Z,books,Web Design Enhancements
amy@bvskillportdemo.com,shared-course,2014-11-05T05:04:35Z,books,Compliance and Social Media
roselyn@bvskillportdemo.com,added-note-course,2014-08-01T16:16:02Z,videos,Compliance and Social Media
obi@bvskillportdemo.com,started-course,2013-02-19T05:11:13Z,courses,Scala Introduction
obi@bvskillportdemo.com,accessed-video,2012-04-05T16:59:05Z,courses,Managing IPv4 and IPv6 Addressing
lucas@bvskillportdemo.com,restart-course,2014-02-04T16:57:39Z,books,Facilitating Collaborative Processes
lucas@bvskillportdemo.com,accessed-course,2012-10-20T11:41:48Z,resources,Web Design Enhancements
amy@bvskillportdemo.com,added-location,2013-11-11T08:15:24Z,resources,Web Design Enhancements
amy@bvskillportdemo.com,started-course,2014-10-17T12:06:09Z,resources,Web Design Enhancements
lucas@bvskillportdemo.com,shared-course,2014-01-28T11:22:03Z,resources,Compliance and Social Media
jack@bvskillportdemo.com,accessed-resource,2013-05-18T10:26:13Z,books,Global Safety Principles
jessica@bvskillportdemo.com,added-note-course,2014-04-26T04:58:02Z,courses,Compliance and Social Media
jack@bvskillportdemo.com,started-course,2012-11-18T17:06:37Z,videos,Compliance and Social Media
amy@bvskillportdemo.com,restarted-test,2013-02-16T19:32:58Z,books,Compliance and Social Media
jack@bvskillportdemo.com,accessed-resource,2012-03-08T18:40:50Z,resources,Compliance and Social Media
