player_email,verb,created_at,asset_type,asset_title
julianne@bvskillportdemo.com,downloaded-book,2012-08-20T13:58:45Z,courses,Reviewing and Rewarding Performance
jack@bvskillportdemo.com,completed-course,2012-09-17T08:32:06Z,videos,Planning for Performance
amy@bvskillportdemo.com,beat-pretest,2013-11-25T05:05:05Z,videos,Global Safety Principles
roselyn@bvskillportdemo.com,added-location,2012-10-13T16:47:24Z,courses,Scala Introduction
julianne@bvskillportdemo.com,took-pretest,2014-08-28T14:22:40Z,courses,Web Design Enhancements
lucas@bvskillportdemo.com,restart-course,2013-12-23T22:16:05Z,videos,Planning for Performance
lucas@bvskillportdemo.com,registered,2012-12-01T07:24:09Z,videos,Global Safety Principles
obi@bvskillportdemo.com,accessed-resource,2012-05-27T21:58:25Z,courses,Facilitating Collaborative Processes
jack@bvskillportdemo.com,added-manager,2014-09-19T15:13:40Z,videos,Facilitating Collaborative Processes
jessica@bvskillportdemo.com,read-book,2013-05-10T19:43:13Z,videos,Facilitating Collaborative Processes
jack@bvskillportdemo.com,logged-in,2012-04-25T23:23:56Z,books,Reviewing and Rewarding Performance
roselyn@bvskillportdemo.com,registered,2013-03-01T02:26:46Z,courses,Global Safety Principles
roselyn@bvskillportdemo.com,downloaded-book,2012-09-15T01:46:31Z,videos,Facilitating Collaborative Processes
jessica@bvskillportdemo.com,added-company,2013-09-28T15:55:54Z,books,Compliance and Social Media
obi@bvskillportdemo.com,restarted-test,2012-07-01T20:01:17Z,resources,Web Design Enhancements
jessica@bvskillportdemo.com,logged-in,2012-05-04T04:10:46Z,courses,Web Design Enhancements
jessica@bvskillportdemo.com,started-course,2014-09-09T16:09:39Z,courses,Planning for Performance
amy@bvskillportdemo.com,added-manager,2013-12-19T02:14:39Z,courses,Web Design Enhancements
lucas@bvskillportdemo.com,added-location,2014-09-09T16:39:21Z,videos,Managing IPv4 and IPv6 Addressing
roselyn@bvskillportdemo.com,downloaded-book,2014-03-05T10:33:53Z,resources,Managing IPv4 and IPv6 Addressing
jack@bvskillportdemo.com,restarted-test,2013-09-27T15:53:15Z,videos,Web Design Enhancements
obi@bvskillportdemo.com,restart-course,2013-11-21T11:16:37Z,resources,Web Design Enhancements
obi@bvskillportdemo.com,shared-course,2012-06-22T19:19:29Z,courses,Reviewing and Rewarding Performance
obi@bvskillportdemo.com,restarted-test,2012-11-14T02:04:37Z,books,Planning for Performance
julianne@bvskillportdemo.com,accessed-video,2013-04-01T15:13:04Z,books,Planning for Performance
obi@bvskillportdemo.com,shared-course,2013-09-19T18:44:15Z,videos,Compliance and Social Media
jack@bvskillportdemo.com,started-course,2012-07-21T21:11:56Z,resources,Managing IPv4 and IPv6 Addressing
julianne@bvskillportdemo.com,accessed-book,2013-09-18T12:34:12Z,books,Global Safety Principles
jessica@bvskillportdemo.com,beat-pretest,2012-12-09T18:02:22Z,videos,Global Safety Principles
lucas@bvskillportdemo.com,added-company,2013-10-10T19:14:32Z,resources,Facilitating Collaborative Processes
amy@bvskillportdemo.com,accessed-course,2014-09-19T17:56:51Z,videos,Planning for Performance
jack@bvskillportdemo.com,took-pretest,2014-01-02T21:54:09Z,courses,Web Design Enhancements
amy@bvskillportdemo.com,accessed-book,2012-02-26T11:26:27Z,videos,Global Safety Principles
julianne@bvskillportdemo.com,accessed-course,2013-08-12T15:48:24Z,videos,Scala Introduction
amy@bvskillportdemo.com,logged-in,2012-05-23T12:49:11Z,videos,Web Design Enhancements
jack@bvskillportdemo.com,registered,2012-04-07T01:18:45Z,resources,Global Safety Principles
jessica@bvskillportdemo.com,accessed-video,2012-02-09T03:13:25Z,courses,Facilitating Collaborative Processes
lucas@bvskillportdemo.com,logged-in,2014-09-27T17:19:05Z,books,Managing IPv4 and IPv6 Addressing
obi@bvskillportdemo.com,restarted-test,2014-01-28T13:48:27Z,books,Facilitating Collaborative Processes
jack@bvskillportdemo.com,took-pretest,2012-03-10T20:37:13Z,resources,Managing IPv4 and IPv6 Addressing
roselyn@bvskillportdemo.com,started-course,2014-10-20T22:48:30Z,resources,Compliance and Social Media
julianne@bvskillportdemo.com,restart-course,2013-05-05T10:16:22Z,videos,Compliance and Social Media
lucas@bvskillportdemo.com,accessed-book,2013-02-23T20:38:36Z,resources,Reviewing and Rewarding Performance
jack@bvskillportdemo.com,added-manager,2013-04-01T05:54:43Z,videos,Global Safety Principles
roselyn@bvskillportdemo.com,accessed-book,2014-07-12T01:35:52Z,resources,Global Safety Principles
amy@bvskillportdemo.com,added-manager,2012-11-09T01:54:33Z,resources,Planning for Performance
julianne@bvskillportdemo.com,beat-pretest,2012-12-05T03:45:59Z,courses,Planning for Performance
roselyn@bvskillportdemo.com,beat-pretest,2013-11-02T08:20:50Z,courses,Web Design Enhancements
amy@bvskillportdemo.com,read-book,2014-02-14T21:24:39Z,books,Reviewing and Rewarding Performance
roselyn@bvskillportdemo.com,accessed-book,2013-07-10T08:57:54Z,resources,Scala Introduction
amy@bvskillportdemo.com,started-course,2013-10-01T18:02:37Z,resources,Global Safety Principles
lucas@bvskillportdemo.com,took-pretest,2014-06-05T07:39:10Z,courses,Planning for Performance
obi@bvskillportdemo.com,accessed-video,2013-04-23T21:56:01Z,resources,Compliance and Social Media
amy@bvskillportdemo.com,logged-in,2014-12-25T09:54:26Z,resources,Global Safety Principles
jack@bvskillportdemo.com,added-company,2014-09-20T06:57:09Z,books,Global Safety Principles
lucas@bvskillportdemo.com,added-note-course,2012-12-26T22:55:49Z,resources,Facilitating Collaborative Processes
roselyn@bvskillportdemo.com,registered,2013-02-24T18:57:53Z,courses,Facilitating Collaborative Processes
lucas@bvskillportdemo.com,accessed-video,2013-02-15T18:04:01Z,resources,Reviewing and Rewarding Performance
jack@bvskillportdemo.com,took-pretest,2013-08-01T19:55:58Z,videos,Global Safety Principles
lucas@bvskillportdemo.com,took-pretest,2014-09-15T02:52:23Z,videos,Planning for Performance
julianne@bvskillportdemo.com,started-course,2013-03-16T03:54:21Z,courses,Facilitating Collaborative Processes
amy@bvskillportdemo.com,completed-course,2012-07-11T14:26:08Z,books,Planning for Performance
jessica@bvskillportdemo.com,added-manager,2013-06-12T08:24:54Z,courses,Scala Introduction
julianne@bvskillportdemo.com,accessed-resource,2014-08-09T12:12:25Z,resources,Web Design Enhancements
jessica@bvskillportdemo.com,took-pretest,2012-02-26T19:14:19Z,videos,Planning for Performance
lucas@bvskillportdemo.com,registered,2012-11-22T05:37:08Z,books,Compliance and Social Media
obi@bvskillportdemo.com,accessed-course,2014-03-14T19:21:40Z,videos,Reviewing and Rewarding Performance
lucas@bvskillportdemo.com,took-pretest,2012-05-22T09:53:29Z,courses,Reviewing and Rewarding Performance
julianne@bvskillportdemo.com,beat-pretest,2013-09-05T21:16:02Z,resources,Reviewing and Rewarding Performance
amy@bvskillportdemo.com,added-location,2013-03-07T16:51:21Z,courses,Planning for Performance
amy@bvskillportdemo.com,registered,2012-01-17T18:16:39Z,resources,Planning for Performance
julianne@bvskillportdemo.com,logged-in,2014-05-22T11:05:26Z,videos,Facilitating Collaborative Processes
amy@bvskillportdemo.com,added-note-course,2012-08-05T23:51:57Z,courses,Managing IPv4 and IPv6 Addressing
jack@bvskillportdemo.com,started-course,2013-08-09T20:52:35Z,resources,Web Design Enhancements
jessica@bvskillportdemo.com,registered,2013-09-03T07:14:39Z,videos,Scala Introduction
jack@bvskillportdemo.com,restarted-test,2014-08-04T13:12:31Z,courses,Planning for Performance
roselyn@bvskillportdemo.com,beat-pretest,2012-08-23T19:49:34Z,videos,Managing IPv4 and IPv6 Addressing
lucas@bvskillportdemo.com,shared-course,2013-04-15T15:49:01Z,books,Scala Introduction
amy@bvskillportdemo.com,added-location,2014-10-10T15:33:11Z,books,Reviewing and Rewarding Performance
lucas@bvskillportdemo.com,accessed-video,2014-01-15T01:24:10Z,videos,Scala Introduction
jessica@bvskillportdemo.com,completed-course,2014-11-18T03:01:18Z,books,Scala Introduction
julianne@bvskillportdemo.com,read-book,2013-04-27T04:35:18Z,courses,Facilitating Collaborative Processes
jack@bvskillportdemo.com,added-company,2013-07-07T10:23:57Z,courses,Web Design Enhancements
obi@bvskillportdemo.com,read-book,2013-12-25T16:26:56Z,videos,Facilitating Collaborative Processes
jack@bvskillportdemo.com,added-location,2012-09-21T08:32:46Z,videos,Planning for Performance
